recipe_name,cuisine,difficulty,prep_time,cook_time,servings,ingredients,instructions,nutrition,tips
Cá Kho Riềng,Vietnamese,Medium,20,40,4,"cá lóc:800g;riềng:100g;sả:3 cây;ớt:2 quả;nước mắm:50ml;đường:20g","1. Ướp cá;2. Phi thơm;3. Kho cá;4. Nêm nếm","calories:350;protein:40g;carbs:10g;fat:20g","1. Cá tươi;2. Thơm riềng;3. Nước kho sệt"
Sushi Roll,Japanese,Medium,40,20,4,"sushi rice:500g;nori seaweed:5 sheets;salmon:200g;cucumber:1;avocado:1;rice vinegar:50ml;wasabi:10g;soy sauce:50ml","1. Cook rice;2. Season rice;3. Prepare fillings;4. Roll sushi","calories:320;protein:15g;carbs:45g;fat:12g","1. Rice not too wet;2. Roll tight;3. Sharp knife"
Pad Thai,Thai,Medium,20,15,4,"rice noodles:400g;shrimp:200g;tofu:200g;bean sprouts:100g;peanuts:50g;tamarind paste:30g;fish sauce:30ml","1. Soak noodles;2. Stir-fry ingredients;3. Add sauce;4. Garnish","calories:380;protein:20g;carbs:50g;fat:15g","1. Noodles al dente;2. Hot wok;3. Fresh sprouts"
Butter Chicken,Indian,Medium,30,40,4,"chicken:800g;yogurt:200g;tomatoes:400g;butter:100g;cream:200ml;garam masala:20g;tandoori masala:20g","1. Marinate chicken;2. Cook chicken;3. Make sauce;4. Combine","calories:450;protein:35g;carbs:15g;fat:30g","1. Rich sauce;2. Tender chicken;3. Aromatic spices"
Paella,Spanish,Hard,40,45,6,"rice:500g;chicken:400g;shrimp:300g;mussels:400g;saffron:1g;paprika:10g;peas:100g","1. Cook sofrito;2. Add rice;3. Add seafood;4. Let form crust","calories:420;protein:30g;carbs:45g;fat:18g","1. Use proper rice;2. Don't stir;3. Create socarrat"
Carbonara,Italian,Medium,15,20,4,"spaghetti:400g;guanciale:200g;eggs:3;pecorino:100g;black pepper:10g","1. Cook pasta;2. Fry guanciale;3. Mix eggs;4. Combine hot","calories:380;protein:20g;carbs:45g;fat:25g","1. No cream;2. Work quickly;3. Hot pasta"
Tacos al Pastor,Mexican,Medium,30,60,6,"pork:1kg;achiote paste:50g;pineapple:1;onion:2;cilantro:50g;corn tortillas:12;lime:2","1. Marinate pork;2. Stack meat;3. Cook vertical;4. Slice thin","calories:350;protein:25g;carbs:30g;fat:18g","1. Thin slices;2. Fresh tortillas;3. Add pineapple"
Gyoza,Japanese,Medium,45,15,4,"ground pork:400g;cabbage:300g;garlic:20g;ginger:20g;dumpling wrappers:30;soy sauce:50ml","1. Mix filling;2. Wrap dumplings;3. Pan-fry;4. Steam finish","calories:280;protein:15g;carbs:35g;fat:12g","1. Crispy bottom;2. Sealed well;3. Not too wet"
Beef Stroganoff,Russian,Medium,25,35,4,"beef tenderloin:600g;mushrooms:300g;sour cream:200ml;mustard:20g;onion:1;egg noodles:400g","1. Slice beef;2. Sauté mushrooms;3. Make sauce;4. Combine","calories:420;protein:35g;carbs:40g;fat:22g","1. Tender beef;2. Creamy sauce;3. Al dente noodles"
Tom Yum Goong,Thai,Medium,25,20,4,"shrimp:400g;mushrooms:200g;lemongrass:3 stalks;kaffir lime leaves:5;chili:3;lime juice:50ml","1. Make broth;2. Cook shrimp;3. Add herbs;4. Season","calories:250;protein:25g;carbs:15g;fat:10g","1. Clear broth;2. Fragrant herbs;3. Spicy hot"
Moussaka,Greek,Hard,45,60,6,"eggplant:3;ground lamb:500g;tomatoes:400g;onion:2;bechamel sauce:500ml;cinnamon:5g","1. Prepare eggplant;2. Make meat sauce;3. Make bechamel;4. Layer","calories:450;protein:25g;carbs:35g;fat:28g","1. Drain eggplant;2. Rich sauce;3. Golden top"
Ramen,Japanese,Hard,60,180,4,"pork belly:500g;eggs:4;noodles:400g;kombu:20g;bonito flakes:30g;soy sauce:100ml;mirin:50ml","1. Make broth;2. Cook chashu;3. Marinate eggs;4. Assemble","calories:550;protein:35g;carbs:65g;fat:25g","1. Clear broth;2. Tender pork;3. Jammy eggs"
Biryani,Indian,Hard,45,60,6,"basmati rice:500g;chicken:800g;onions:3;yogurt:200g;biryani masala:30g;saffron:1g;mint:50g","1. Marinate chicken;2. Par-cook rice;3. Layer;4. Dum cook","calories:480;protein:30g;carbs:55g;fat:20g","1. Fragrant rice;2. Tender meat;3. Distinct layers"
Pizza Margherita,Italian,Medium,90,15,4,"flour:500g;yeast:7g;tomatoes:400g;mozzarella:250g;basil:20g;olive oil:30ml","1. Make dough;2. Rest dough;3. Shape;4. Top and bake","calories:285;protein:12g;carbs:45g;fat:8g","1. Thin crust;2. Hot oven;3. Fresh ingredients"
Bibimbap,Korean,Medium,30,20,4,"rice:400g;beef:200g;spinach:200g;carrots:100g;bean sprouts:100g;egg:4;gochujang:50g","1. Cook rice;2. Prepare vegetables;3. Cook beef;4. Assemble","calories:450;protein:25g;carbs:60g;fat:15g","1. Hot stone bowl;2. Crispy rice;3. Mix well"
Falafel,Middle Eastern,Medium,30,15,4,"chickpeas:500g;parsley:100g;cilantro:100g;onion:1;garlic:5 cloves;cumin:10g;coriander:10g","1. Soak chickpeas;2. Grind ingredients;3. Form balls;4. Fry","calories:320;protein:15g;carbs:45g;fat:12g","1. Not too wet;2. Hot oil;3. Golden brown"
Schnitzel,Austrian,Medium,20,15,4,"veal:600g;breadcrumbs:200g;eggs:3;flour:100g;lemon:1;parsley:30g","1. Pound meat;2. Bread cutlets;3. Fry golden;4. Serve hot","calories:420;protein:35g;carbs:30g;fat:20g","1. Thin cutlets;2. Golden crust;3. Not greasy"
Green Curry,Thai,Medium,30,30,4,"chicken:600g;coconut milk:800ml;green curry paste:50g;eggplant:200g;bamboo shoots:200g;basil:30g","1. Cook paste;2. Add coconut milk;3. Cook chicken;4. Add vegetables","calories:380;protein:25g;carbs:15g;fat:28g","1. Creamy sauce;2. Tender meat;3. Fresh herbs"
Beef Bourguignon,French,Hard,40,180,6,"beef chuck:1kg;bacon:200g;mushrooms:300g;pearl onions:200g;red wine:750ml;thyme:10g","1. Brown meat;2. Cook vegetables;3. Simmer in wine;4. Reduce sauce","calories:450;protein:35g;carbs:10g;fat:30g","1. Tender beef;2. Rich sauce;3. Not too dry"
Dim Sum,Chinese,Hard,60,20,4,"shrimp:300g;pork:300g;mushrooms:100g;bamboo shoots:100g;wonton wrappers:40;soy sauce:50ml","1. Make filling;2. Wrap dumplings;3. Steam;4. Serve hot","calories:280;protein:20g;carbs:35g;fat:10g","1. Thin wrappers;2. Juicy filling;3. Hot steam"
Fish and Chips,British,Medium,30,20,4,"cod:800g;potatoes:1kg;flour:200g;beer:200ml;tartar sauce:100g;peas:200g","1. Cut chips;2. Make batter;3. Fry fish;4. Fry chips","calories:520;protein:30g;carbs:65g;fat:22g","1. Crispy batter;2. Flaky fish;3. Crunchy chips"
Paella Negra,Spanish,Hard,45,50,6,"rice:500g;squid ink:20g;squid:400g;shrimp:300g;mussels:400g;garlic:6 cloves;paprika:10g","1. Color rice;2. Cook seafood;3. Add stock;4. Create crust","calories:380;protein:30g;carbs:45g;fat:15g","1. Black color;2. Seafood fresh;3. Crispy bottom"
Shakshuka,Middle Eastern,Medium,20,25,4,"eggs:6;tomatoes:800g;peppers:2;onion:1;garlic:4 cloves;cumin:5g;paprika:5g","1. Make sauce;2. Create wells;3. Cook eggs;4. Garnish","calories:280;protein:18g;carbs:15g;fat:18g","1. Thick sauce;2. Runny yolks;3. Fresh herbs"
Poutine,Canadian,Easy,20,15,4,"potatoes:1kg;cheese curds:300g;gravy:500ml;butter:50g;flour:30g","1. Fry chips;2. Make gravy;3. Add cheese;4. Pour hot","calories:450;protein:15g;carbs:55g;fat:25g","1. Crispy fries;2. Hot gravy;3. Melty cheese"
Kung Pao Chicken,Chinese,Medium,25,20,4,"chicken:600g;peanuts:100g;dried chilies:8;soy sauce:50ml;hoisin:30ml;garlic:4 cloves","1. Cut chicken;2. Make sauce;3. Stir-fry;4. Add peanuts","calories:380;protein:35g;carbs:15g;fat:22g","1. Spicy hot;2. Crunchy nuts;3. Glossy sauce"
Borscht,Russian,Medium,30,90,6,"beef:500g;beets:500g;cabbage:300g;potatoes:300g;carrots:200g;sour cream:200ml","1. Make broth;2. Cook vegetables;3. Add beets;4. Simmer","calories:320;protein:25g;carbs:35g;fat:15g","1. Deep red;2. Rich broth;3. Tender beef"
Goulash,Hungarian,Medium,30,120,6,"beef:800g;paprika:30g;onions:3;tomatoes:400g;peppers:2;caraway:5g","1. Brown meat;2. Cook onions;3. Add paprika;4. Simmer long","calories:420;protein:35g;carbs:25g;fat:22g","1. Tender meat;2. Rich sauce;3. Right color"
Tandoori Chicken,Indian,Medium,30,40,4,"chicken:1kg;yogurt:200g;tandoori masala:30g;lemon:1;ginger:30g;garlic:20g","1. Make marinade;2. Marinate chicken;3. Cook hot;4. Rest","calories:350;protein:40g;carbs:5g;fat:18g","1. Red color;2. Charred spots;3. Juicy meat"
Kimchi Jjigae,Korean,Medium,20,30,4,"kimchi:400g;pork belly:300g;tofu:200g;mushrooms:100g;gochugaru:20g","1. Fry pork;2. Add kimchi;3. Simmer;4. Add tofu","calories:320;protein:25g;carbs:15g;fat:22g","1. Spicy red;2. Tender pork;3. Soft tofu" 
